,partitions,subjects,depths,values
0,0,0,-1,0.09024125099182129
1,0,1,-1,0.07829068899154662
2,0,2,-1,0.07958312273025513
3,0,3,-1,0.05663375377655029
4,0,4,-1,0.06502375364303589
5,0,5,-1,0.04280033230781555
6,0,6,-1,0.06362474441528321
7,0,0,0,0.06404502630233765
8,0,1,0,0.05916683673858643
9,0,2,0,0.05322632074356079
10,0,3,0,0.04220989227294922
11,0,4,0,0.04868420362472534
12,0,5,0,0.03494890928268433
13,0,6,0,0.05010022640228272
14,0,0,1,0.03992626190185547
15,0,1,1,0.04035039186477661
16,0,2,1,0.03423551559448242
17,0,3,1,0.030379135608673093
18,0,4,1,0.03135252594947815
19,0,5,1,0.028240740299224854
20,0,6,1,0.028808276653289795
21,1,0,-1,0.04911810398101807
22,1,1,-1,0.03536569833755493
23,1,2,-1,0.06077661037445069
24,1,3,-1,0.04231141328811645
25,1,4,-1,0.03635338425636292
26,1,5,-1,0.032946324348449706
27,1,6,-1,0.030420249700546263
28,1,0,0,0.03468087673187256
29,1,1,0,0.028362433910369873
30,1,2,0,0.04148359775543213
31,1,3,0,0.032679003477096555
32,1,4,0,0.02955501317977905
33,1,5,0,0.027636988162994387
34,1,6,0,0.027878518104553225
35,1,0,1,0.023995753526687622
36,1,1,1,0.02327117919921875
37,1,2,1,0.028179911375045774
38,1,3,1,0.024722325801849365
39,1,4,1,0.023085907697677613
40,1,5,1,0.02468119502067566
41,1,6,1,0.02033595561981201
