,partitions,categories,depths,subjects,betas
0,0,0,-1,0,2.766107885794584
1,0,0,-1,1,1.4803975258117639
2,0,0,-1,2,1.1341240843872975
3,0,0,-1,3,1.5162783198204317
4,0,0,-1,4,1.44763777052788
5,0,0,-1,5,0.6172330619819374
6,0,0,-1,6,2.597811747133984
7,0,0,0,0,1.9926624952578709
8,0,0,0,1,1.322493452454306
9,0,0,0,2,0.9434978460470422
10,0,0,0,3,1.0691894882047057
11,0,0,0,4,1.2217677432557996
12,0,0,0,5,0.5111046872309453
13,0,0,0,6,1.9451937788977358
14,0,0,1,0,1.2855576559560808
15,0,0,1,1,1.047145968926695
16,0,0,1,2,0.755583157807204
17,0,0,1,3,0.9507693341185967
18,0,0,1,4,0.8860573499026512
19,0,0,1,5,0.48510478567245124
20,0,0,1,6,0.9704741051165156
21,0,1,-1,0,2.8606715077906166
22,0,1,-1,1,1.4650610726847542
23,0,1,-1,2,1.7797210439617692
24,0,1,-1,3,1.9197027805956934
25,0,1,-1,4,1.8038428275525
26,0,1,-1,5,1.1928786728145866
27,0,1,-1,6,3.0895696129121086
28,0,1,0,0,2.0962759152216845
29,0,1,0,1,1.4230906412742668
30,0,1,0,2,1.3496124248441985
31,0,1,0,3,1.3470297661985768
32,0,1,0,4,1.4202754635307933
33,0,1,0,5,0.808252913407403
34,0,1,0,6,2.2144004461743294
35,0,1,1,0,1.3558532962983922
36,0,1,1,1,1.1327540541097834
37,0,1,1,2,1.0085330713755396
38,0,1,1,3,1.1181818996370754
39,0,1,1,4,1.0369902721753075
40,0,1,1,5,0.6550915674628841
41,0,1,1,6,1.1400684541281465
42,0,2,-1,0,2.4043577412651502
43,0,2,-1,1,1.6365616699865235
44,0,2,-1,2,1.6571690534538792
45,0,2,-1,3,1.9151782073856312
46,0,2,-1,4,1.7751628315103014
47,0,2,-1,5,1.4155257739702318
48,0,2,-1,6,2.6160987440254457
49,0,2,0,0,1.73488397991797
50,0,2,0,1,1.3766274027887728
51,0,2,0,2,1.1945285267897945
52,0,2,0,3,1.3024946021914654
53,0,2,0,4,1.4659501704319216
54,0,2,0,5,1.086993118525498
55,0,2,0,6,2.022109501846753
56,0,2,1,0,1.1072010809324204
57,0,2,1,1,1.0253583349583326
58,0,2,1,2,0.8853033358416128
59,0,2,1,3,1.0345634195267164
60,0,2,1,4,1.09628677868267
61,0,2,1,5,0.8909649184086346
62,0,2,1,6,1.069359444461495
63,0,3,-1,0,2.2782806928968458
64,0,3,-1,1,1.5166860747728939
65,0,3,-1,2,1.8825187038005888
66,0,3,-1,3,1.5401786865150586
67,0,3,-1,4,1.763033144481848
68,0,3,-1,5,1.168720648803035
69,0,3,-1,6,2.4623698989197482
70,0,3,0,0,1.701712022742298
71,0,3,0,1,1.3672209332354015
72,0,3,0,2,1.3747903746860977
73,0,3,0,3,1.102006654778268
74,0,3,0,4,1.389293532148573
75,0,3,0,5,0.8854836019544919
76,0,3,0,6,1.823750592971918
77,0,3,1,0,1.1127729570805984
78,0,3,1,1,1.0502447943740876
79,0,3,1,2,1.0111445435863757
80,0,3,1,3,1.0060570564412699
81,0,3,1,4,1.0146397286017192
82,0,3,1,5,0.6878971370901422
83,0,3,1,6,1.0095200222961418
84,0,4,-1,0,2.7182209627698732
85,0,4,-1,1,1.5588676698941313
86,0,4,-1,2,2.321659117009824
87,0,4,-1,3,2.086225985748621
88,0,4,-1,4,1.8966183514941963
89,0,4,-1,5,1.1477936983484585
90,0,4,-1,6,2.7870572325552634
91,0,4,0,0,2.022551525350578
92,0,4,0,1,1.4004932706088833
93,0,4,0,2,1.5732123279892853
94,0,4,0,3,1.5309664199673279
95,0,4,0,4,1.5104521246955547
96,0,4,0,5,0.8966117420270778
97,0,4,0,6,2.0697149863887914
98,0,4,1,0,1.3283690087996163
