,partitions,subjects,betas,depths,regressors
0,0,0,0.5393463815438435,-1,0
1,0,1,0.4519366428504219,-1,0
2,0,2,0.5453100299011066,-1,0
3,0,3,0.44692270047087485,-1,0
4,0,4,0.5194775455224647,-1,0
5,0,5,0.22453582468960567,-1,0
6,0,6,0.39313118846899053,-1,0
7,0,0,0.4657543994867409,0,0
8,0,1,0.38554453249848697,0,0
9,0,2,0.4015771389387823,0,0
10,0,3,0.38383373418060623,0,0
11,0,4,0.4384445953704357,0,0
12,0,5,0.1867456837934132,0,0
13,0,6,0.31958277056250445,0,0
14,0,0,0.32166145206981944,1,0
15,0,1,0.22599990711271653,1,0
16,0,2,0.22947062215784025,1,0
17,0,3,0.2466793771003549,1,0
18,0,4,0.29225459119768804,1,0
19,0,5,0.10758372861500952,1,0
20,0,6,0.15949329106481633,1,0
21,0,0,0.1771648771887545,-1,1
22,0,1,0.1690778553693446,-1,1
23,0,2,0.1591275515859818,-1,1
24,0,3,0.1103560073064836,-1,1
25,0,4,0.157254900302415,-1,1
26,0,5,0.10879940214111128,-1,1
27,0,6,0.14810459263954978,-1,1
28,0,0,0.13580172046215255,0,1
29,0,1,0.13072853859387312,0,1
30,0,2,0.12560844484663236,0,1
31,0,3,0.07150872084786736,0,1
32,0,4,0.13391813858775564,0,1
33,0,5,0.0805445363673557,0,1
34,0,6,0.11535170745882717,0,1
35,0,0,0.07890481297175123,1,1
36,0,1,0.0670143990677744,1,1
37,0,2,0.04983316673277538,1,1
38,0,3,0.04353738642576044,1,1
39,0,4,0.07607463973994966,1,1
40,0,5,0.06533496956229756,1,1
41,0,6,0.08707705511418362,1,1
42,1,0,0.25336113577188957,-1,0
43,1,1,0.1984037827147619,-1,0
44,1,2,0.3421994357180822,-1,0
45,1,3,0.21382312283515595,-1,0
46,1,4,0.2255680502067358,-1,0
47,1,5,0.06686484660895857,-1,0
48,1,6,0.168773792791881,-1,0
49,1,0,0.14874825072736172,0,0
50,1,1,0.14266088510024577,0,0
51,1,2,0.22011487652013237,0,0
52,1,3,0.16455091910476688,0,0
53,1,4,0.2119102682745478,0,0
54,1,5,0.0392129111184751,0,0
55,1,6,0.18890776782816382,0,0
56,1,0,0.07579300094092593,1,0
57,1,1,0.0689098499250871,1,0
58,1,2,0.12327918081190527,1,0
59,1,3,0.08624616203854761,1,0
60,1,4,0.12321523069936745,1,0
61,1,5,-0.003835295958534292,1,0
62,1,6,0.1001094595364208,1,0
63,1,0,0.1597130815325548,-1,1
64,1,1,0.081932178044832,-1,1
65,1,2,0.10634131092144672,-1,1
66,1,3,0.04030028244469541,-1,1
67,1,4,0.10363447737631026,-1,1
68,1,5,0.06640521133644706,-1,1
69,1,6,0.1120032823977194,-1,1
70,1,0,0.10987200601265712,0,1
71,1,1,0.06095955846715406,0,1
72,1,2,0.07075328720496277,0,1
73,1,3,0.0186754161099153,0,1
74,1,4,0.083532702058015,0,1
75,1,5,0.08122653457196238,0,1
76,1,6,0.06630802834266125,0,1
77,1,0,0.04128187145322937,1,1
78,1,1,0.017898023020961773,1,1
79,1,2,0.029005499842480575,1,1
80,1,3,0.0050718861989396125,1,1
81,1,4,0.05393467426879628,1,1
82,1,5,0.07215910835499406,1,1
83,1,6,0.03104466604174816,1,1
