,partitions,subjects,regressors,data_srcs,values
0,0,0,0,0,0.38584527502279814
1,0,1,0,0,0.31238255931619646
2,0,2,0,0,0.3172731393905288
3,0,3,0,0,0.29377601943131537
4,0,4,0,0,0.3552844355503754
5,0,5,0,0,0.15765788624427324
6,0,6,0,0,0.22862967499785325
7,0,0,1,0,0.12600878548111827
8,0,1,1,0,0.11246520593040116
9,0,2,1,0,0.11273137658305787
10,0,3,1,0,0.07729889519549588
11,0,4,1,0,0.12098990726980724
12,0,5,1,0,0.07184278128938348
13,0,6,1,0,0.10249810607839771
14,1,0,0,0,0.125673290851449
15,1,1,0,0,0.10786715595940466
16,1,2,0,0,0.1709472969985713
17,1,3,0,0,0.1156028041901635
18,1,4,0,0,0.15340406736940987
19,1,5,0,0,0.034811668639593424
20,1,6,0,0,0.11882403647307717
21,1,0,1,0,0.09501778429008034
22,1,1,1,0,0.05281894304009205
23,1,2,1,0,0.06767004203530325
24,1,3,1,0,0.03144124790904146
25,1,4,1,0,0.07103254334862641
26,1,5,1,0,0.05889515038044291
27,1,6,1,0,0.06127855947631711
28,0,0,0,1,0.41594139907860017
29,0,1,0,1,0.32712274117249446
30,0,2,0,1,0.3562335643817423
31,0,3,0,1,0.3218896866769731
32,0,4,0,1,0.35508986935483505
33,0,5,0,1,0.15532781139164292
34,0,6,0,1,0.26024637508748827
35,0,0,1,1,0.12714510724458483
36,0,1,1,1,0.10806989565418479
37,0,2,1,1,0.11569727793527523
38,0,3,1,1,0.07921511074500964
39,0,4,1,1,0.1181036246704446
40,0,5,1,1,0.06800307812286488
41,0,6,1,1,0.09926059710587298
42,1,0,0,1,0.14934000964866725
43,1,1,0,1,0.13213475611035155
44,1,2,0,1,0.19310021168578395
45,1,3,0,1,0.1259187724600483
46,1,4,0,1,0.16071341549631316
47,1,5,0,1,0.04022973358295672
48,1,6,0,1,0.13405478434221407
49,1,0,1,1,0.10230031188148236
50,1,1,1,1,0.048986478547485834
51,1,2,1,1,0.0609973873242291
52,1,3,1,1,0.04767519757894223
53,1,4,1,1,0.06599233016058337
54,1,5,1,1,0.04495173091161819
55,1,6,1,1,0.06286778008144522
